City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Esperance,AU,72.88,overcast clouds,-33.8667,121.9,Hospitality Esperance
7,Nelson Bay,AU,75.96,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
9,Rikitea,PF,73.08,overcast clouds,-23.1203,-134.9692,People ThankYou
12,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
19,Airai,TL,73.96,broken clouds,-8.9266,125.4092,Juvinal Martin
22,Port Blair,IN,81.73,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
30,Pemangkat,ID,81.45,overcast clouds,1.1667,108.9667,Ramah Kost KITA
31,Santa Fe,AR,80.98,moderate rain,-31.6333,-60.7,Conquistador Hotel
32,Sur,OM,81.25,clear sky,22.5667,59.5289,Sur Plaza Hotel
33,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
35,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
37,Arraial Do Cabo,BR,70.05,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
39,Tomatlan,MX,74.84,clear sky,19.9333,-105.25,El Salvial
44,Barranquilla,CO,78.58,drizzle,10.9639,-74.7964,Hotel Don Jorge
45,San Pedro,PH,82.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
50,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
51,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
56,Emerald,AU,76.33,overcast clouds,-23.5333,148.1667,The Irish Village
58,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
61,Sao Felix Do Xingu,BR,72.9,broken clouds,-6.6447,-51.995,Rio Xingu Camping
64,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
70,Daru,PG,82.4,overcast clouds,-9.0763,143.2092,Daru Lodge
72,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
75,Alibag,IN,80.67,scattered clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
76,Lumphat,KH,78.49,few clouds,13.4878,106.9816,Lumphat Homestay
78,Kununurra,AU,84.18,few clouds,-15.7667,128.7333,Hotel Kununurra
82,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
89,Ribeira Brava,PT,73.0,broken clouds,32.65,-17.0667,Hotel do Campo
93,Chumphon,TH,74.46,overcast clouds,10.3333,98.8333,สกาน จ๋า.
94,Matara,LK,77.18,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
96,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
97,Omboue,GA,75.92,light rain,-1.5746,9.2618,Hotel Olako
100,Flinders,AU,75.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
101,Saint George,US,72.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
106,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
112,Ponta Do Sol,PT,73.0,broken clouds,32.6667,-17.1,Hotel do Campo
114,Bosaso,SO,78.8,scattered clouds,11.2842,49.1816,Red Sea Hotel
117,Bontang,ID,81.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
127,Tayu,ID,85.24,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
128,Lorengau,PG,81.01,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
131,Hilo,US,81.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
132,Kismayo,SO,78.22,clear sky,-0.3582,42.5454,Agan-Hotel
133,Kalmunai,LK,79.3,scattered clouds,7.4167,81.8167,VS Villa
143,Ribeira Grande,PT,71.2,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
144,Misratah,LY,71.22,overcast clouds,32.3754,15.0925,Almasa Hotel
147,Tautira,PF,84.22,few clouds,-17.7333,-149.15,Pension Oaoa
151,Muana,BR,76.73,heavy intensity rain,-1.5283,-49.2167,Pousada Bella do Marajó
159,Quatre Cocos,MU,70.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
161,Ambulu,ID,80.33,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
165,Salalah,OM,76.62,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
166,Tonantins,BR,75.42,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
167,Buala,SB,83.32,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
168,Esna,EG,78.37,scattered clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
173,Pimenta Bueno,BR,73.09,moderate rain,-11.6725,-61.1936,Cristalina Palace Hotel
174,Gizo,SB,82.8,moderate rain,-8.103,156.8419,Imagination Island
178,Kathu,TH,81.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
183,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
186,Cabo San Lucas,MX,82.06,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
187,Alacranes,CU,72.09,broken clouds,22.7675,-81.5675,Hotel Union de Reyes
189,Charters Towers,AU,86.32,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
194,Cienfuegos,CU,72.03,clear sky,22.1461,-80.4356,Casa Claumar B2BPay
200,Kroya,ID,80.44,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
203,Gat,IL,78.08,overcast clouds,31.61,34.7642,OlusHome
208,Cockburn Town,TC,82.06,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
209,Luangwa,ZM,78.06,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
218,Crib Point,AU,78.15,clear sky,-38.35,145.2,Erawan Bed & Breakfast
221,Marawi,PH,73.65,scattered clouds,7.9986,124.2928,Derogongan Residence
232,Porto Novo,BJ,75.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
234,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
244,Bundaberg,AU,77.29,broken clouds,-24.85,152.35,Takalvan Motel
245,Tirumullaivasal,IN,78.58,overcast clouds,11.2333,79.8333,Almupaark complex
246,Manaure,CO,81.64,overcast clouds,11.7751,-72.4445,Hotel Palaaima
247,Las Cruces,US,74.28,clear sky,32.3123,-106.7783,Days End Lodge
248,Kuah,MY,80.4,overcast clouds,6.3265,99.8432,Azio Hotel
