City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,82.56,78,75,10.36,broken clouds
1,Flin Flon,CA,54.7682,-101.865,30.51,89,100,7.7,overcast clouds
2,Darya Khan,PK,31.7912,71.1039,66.06,30,0,8.08,clear sky
3,Henties Bay,NA,-22.116,14.2845,60.85,92,0,6.4,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,16.11,clear sky
5,Esperance,AU,-33.8667,121.9,72.88,44,100,15.21,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,46.06,71,0,6.91,clear sky
7,Nelson Bay,AU,-32.7167,152.15,75.96,57,100,1.99,overcast clouds
8,Coffs Harbour,AU,-30.3,153.1333,69.76,56,90,8.05,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,73.08,78,100,17.69,overcast clouds
10,Lasa,IT,46.6166,10.7002,50.74,98,100,3.83,overcast clouds
11,Bethel,US,41.3712,-73.414,57.02,87,32,1.01,scattered clouds
12,Kapaa,US,22.0752,-159.319,80.19,73,36,3.0,scattered clouds
13,Port Alfred,ZA,-33.5906,26.891,66.06,81,100,15.08,overcast clouds
14,Hobart,AU,-42.8794,147.3294,64.02,55,75,3.0,broken clouds
15,Gao,ML,16.6362,1.637,82.35,15,12,10.2,few clouds
16,Carnarvon,AU,-24.8667,113.6333,69.87,56,40,18.41,scattered clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,69.6,90,44,7.31,scattered clouds
18,Mataura,NZ,-46.1927,168.8643,61.63,49,100,10.96,overcast clouds
19,Airai,TL,-8.9266,125.4092,73.96,47,55,2.13,broken clouds
20,Albany,US,42.6001,-73.9662,55.74,80,100,10.38,overcast clouds
21,Semnan,IR,35.5729,53.3971,56.28,59,10,1.72,clear sky
22,Port Blair,IN,11.6667,92.75,81.73,78,54,4.29,broken clouds
23,Bluff,NZ,-46.6,168.3333,54.3,75,100,29.24,overcast clouds
24,Pudozh,RU,61.8099,36.5345,41.23,96,100,5.61,light rain
25,Hasaki,JP,35.7333,140.8333,63.28,73,100,5.7,overcast clouds
26,Kaitangata,NZ,-46.2817,169.8464,64.24,43,84,11.01,broken clouds
27,Guerrero Negro,MX,27.9769,-114.0611,65.16,81,1,11.83,clear sky
28,Lebu,CL,-37.6167,-73.65,50.92,93,17,5.99,few clouds
29,Cape Town,ZA,-33.9258,18.4232,64.09,73,40,1.01,light rain
30,Pemangkat,ID,1.1667,108.9667,81.45,80,94,4.85,overcast clouds
31,Santa Fe,AR,-31.6333,-60.7,80.98,58,7,4.0,moderate rain
32,Sur,OM,22.5667,59.5289,81.25,52,0,8.97,clear sky
33,Avarua,CK,-21.2078,-159.775,77.05,69,75,14.97,broken clouds
34,Laukaa,RU,58.7372,29.8453,42.4,93,79,4.74,broken clouds
35,Port Hedland,AU,-20.3167,118.5667,80.65,61,75,5.75,broken clouds
36,Jamestown,US,42.097,-79.2353,52.52,83,100,10.0,overcast clouds
37,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,94,100,21.59,overcast clouds
38,Koutsouras,GR,35.0339,25.9469,65.1,77,88,11.68,overcast clouds
39,Tomatlan,MX,19.9333,-105.25,74.84,86,0,1.72,clear sky
40,Okha,RU,53.5739,142.9478,31.69,52,6,8.5,clear sky
41,Chato,TZ,-2.6378,31.7669,66.92,83,100,2.21,overcast clouds
42,Thompson,CA,55.7435,-97.8558,28.56,93,75,4.61,light shower snow
43,Norman Wells,CA,65.282,-126.8329,18.64,90,100,4.99,overcast clouds
44,Barranquilla,CO,10.9639,-74.7964,78.58,94,75,3.44,drizzle
45,San Pedro,PH,14.35,121.0167,82.35,81,72,12.24,broken clouds
46,Shirokiy,RU,49.758,129.523,32.13,29,43,2.59,scattered clouds
47,Lata,PT,40.1629,-8.3327,63.05,97,100,3.76,overcast clouds
48,Te Anau,NZ,-45.4167,167.7167,54.48,69,100,7.74,light rain
49,Kyra,RU,49.5776,111.9753,29.23,75,96,2.57,overcast clouds
50,Olinda,BR,-8.0089,-34.8553,80.33,74,40,6.91,scattered clouds
51,Hithadhoo,MV,-0.6,73.0833,81.81,77,100,19.64,overcast clouds
52,Mega,ET,4.05,38.3,61.18,60,9,17.76,clear sky
53,Tessalit,ML,20.1986,1.0114,81.16,15,1,10.29,clear sky
54,Busselton,AU,-33.65,115.3333,60.04,62,94,18.41,overcast clouds
55,Baruun-Urt,MN,46.6806,113.2792,27.52,23,9,8.21,clear sky
56,Emerald,AU,-23.5333,148.1667,76.33,57,99,16.78,overcast clouds
57,Hamilton,US,39.1834,-84.5333,58.44,74,90,1.01,overcast clouds
58,Cayenne,GF,4.9333,-52.3333,82.09,83,75,4.0,broken clouds
59,Davidson,US,36.1501,-86.7833,56.44,84,20,0.0,few clouds
60,Benito Juarez,MX,19.385,-99.165,64.99,53,90,15.99,overcast clouds
61,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.9,93,69,0.92,broken clouds
62,Severo-Kurilsk,RU,50.6789,156.125,36.05,58,80,25.23,light rain
63,Zheleznodorozhnyy,RU,55.7503,38.0042,41.22,79,7,7.74,clear sky
64,Mahebourg,MU,-20.4081,57.7,70.25,88,40,5.75,scattered clouds
65,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,6.91,broken clouds
66,Upernavik,GL,72.7868,-56.1549,29.25,77,100,13.38,overcast clouds
67,Yellowknife,CA,62.456,-114.3525,32.56,96,75,13.8,broken clouds
68,Bulgan,MN,48.8125,103.5347,32.67,52,100,2.89,overcast clouds
69,Ilulissat,GL,69.2167,-51.1,31.28,97,100,11.39,light snow
70,Daru,PG,-9.0763,143.2092,82.4,84,100,15.05,overcast clouds
71,Olafsvik,IS,64.8945,-23.7142,34.86,71,22,17.31,few clouds
72,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,40,3.44,scattered clouds
73,Provideniya,RU,64.3833,-173.3,19.51,58,0,15.66,clear sky
74,Zyuzelskiy,RU,56.4856,60.1331,39.04,92,100,11.07,overcast clouds
75,Alibag,IN,18.6411,72.8792,80.67,70,49,6.11,scattered clouds
76,Lumphat,KH,13.4878,106.9816,78.49,79,11,6.82,few clouds
77,Castro,BR,-24.7911,-50.0119,58.69,98,97,6.85,overcast clouds
78,Kununurra,AU,-15.7667,128.7333,84.18,61,18,6.91,few clouds
79,Yumbe,UG,3.4651,31.2469,66.24,82,81,4.07,broken clouds
80,Martinsville,US,36.6915,-79.8725,56.05,78,1,0.0,clear sky
81,Gejiu,CN,23.306,103.1635,53.6,98,100,3.85,overcast clouds
82,Atuona,PF,-9.8,-139.0333,78.66,73,0,17.36,clear sky
83,Bogorodskoye,RU,56.55,37.8833,38.46,87,6,8.61,clear sky
84,Chapais,CA,49.7834,-74.8492,40.78,99,100,1.77,overcast clouds
85,Barrow,US,71.2906,-156.7887,23.97,94,100,15.3,overcast clouds
86,Cherskiy,RU,68.75,161.3,-0.06,97,100,5.79,overcast clouds
87,Vanavara,RU,60.34,102.2797,23.27,94,100,5.12,light snow
88,Narsaq,GL,60.9167,-46.05,25.79,65,27,7.31,scattered clouds
89,Ribeira Brava,PT,32.65,-17.0667,73.0,77,55,2.51,broken clouds
90,Ayan,RU,56.45,138.1667,25.36,38,22,3.15,few clouds
91,Codrington,AU,-38.2667,141.9667,63.59,61,1,3.56,clear sky
92,Fortuna,US,40.5982,-124.1573,61.09,68,90,1.01,overcast clouds
93,Chumphon,TH,10.3333,98.8333,74.46,90,100,2.01,overcast clouds
94,Matara,LK,5.9485,80.5353,77.18,91,100,6.55,overcast clouds
95,East London,ZA,-33.0153,27.9116,64.98,83,100,13.78,overcast clouds
96,Hambantota,LK,6.1241,81.1185,75.54,100,40,0.0,scattered clouds
97,Omboue,GA,-1.5746,9.2618,75.92,92,100,8.03,light rain
98,Gaya,IN,24.7833,85.0,64.09,70,0,3.87,clear sky
99,Jiayuguan,CN,39.8167,98.3,40.1,34,28,3.69,scattered clouds
100,Flinders,AU,-34.5833,150.8552,75.18,58,100,4.0,overcast clouds
101,Saint George,US,37.1041,-113.5841,72.95,33,1,1.01,clear sky
102,Chokurdakh,RU,70.6333,147.9167,-10.77,100,87,6.6,overcast clouds
103,Oktyabrskoye,RU,43.0645,44.7417,39.34,100,100,2.24,mist
104,Cairns,AU,-16.9167,145.7667,91.11,63,57,16.11,broken clouds
105,Bilibino,RU,68.0546,166.4372,-20.33,99,99,0.98,overcast clouds
106,Butaritari,KI,3.0707,172.7902,81.81,76,1,11.54,light rain
107,Pisco,PE,-13.7,-76.2167,62.65,82,0,16.11,clear sky
108,Lodja,CD,-3.4833,23.4333,67.96,96,100,2.75,overcast clouds
109,Goundam,ML,16.4145,-3.6708,87.84,14,3,7.7,clear sky
110,Lannion,FR,48.75,-3.4167,50.25,93,75,12.66,broken clouds
111,Nikolskoye,RU,59.7035,30.7861,48.02,88,98,6.8,overcast clouds
112,Ponta Do Sol,PT,32.6667,-17.1,73.0,76,60,3.13,broken clouds
113,Willmar,US,45.1219,-95.0433,40.84,69,1,5.75,clear sky
114,Bosaso,SO,11.2842,49.1816,78.8,73,28,8.41,scattered clouds
115,Dikson,RU,73.5069,80.5464,5.72,94,97,11.14,overcast clouds
116,Khatanga,RU,71.9667,102.5,5.4,96,100,11.9,light snow
117,Bontang,ID,0.1333,117.5,81.73,80,100,6.73,overcast clouds
118,Kedrovyy,RU,56.1667,91.8167,32.41,93,100,14.16,light snow
119,Ancud,CL,-41.8697,-73.8203,52.12,82,0,7.78,clear sky
120,Tiksi,RU,71.6872,128.8694,11.88,83,100,11.36,overcast clouds
121,Saint-Philippe,RE,-21.3585,55.7679,68.22,86,74,11.05,broken clouds
122,Tasiilaq,GL,65.6145,-37.6368,19.49,58,9,8.23,clear sky
123,Waitati,NZ,-45.75,170.5667,62.8,52,17,2.51,light rain
124,College,US,64.8569,-147.8028,31.37,86,100,3.62,overcast clouds
125,Lavrentiya,RU,65.5833,-171.0,13.46,78,100,10.2,overcast clouds
126,High Level,CA,58.5169,-117.136,28.49,63,99,5.88,overcast clouds
127,Tayu,ID,-6.5397,111.0518,85.24,66,62,3.51,broken clouds
128,Lorengau,PG,-2.0226,147.2712,81.01,85,100,11.7,overcast clouds
129,Tole,UA,44.7167,33.8167,49.15,79,69,3.58,broken clouds
130,Smithers,CA,54.7804,-127.1743,33.55,61,1,2.64,clear sky
